d,h,hdo,den,num,dhdo,loghdo
7.8,7.7,18.1,556,0.780504385,141.18,2.895911938
9,10.2,17.2,1778,0.97067116,154.8,2.844909384
16.2,18.4,22.8,956,0.232424722,369.36,3.126760536
14.2,14.1,15,1956,0.726470969,213,2.708050201
6.4,6.6,18.7,844,0.998853733,119.68,2.928523524
17.5,9.3,22.8,956,0.860410409,399,3.126760536
15.3,9.7,14.9,1222,0.644165876,227.97,2.701361213
15.1,15.7,18.7,844,0.772220293,282.37,2.928523524
17.6,10.5,15.7,1022,0.001385219,276.32,2.753660712
14.2,11.7,13,1511,0.163238321,184.6,2.564949357
15.1,12.3,16.6,1656,0.00955137,250.66,2.809402695
15.8,19,22.8,956,0.195784934,360.24,3.126760536
15.2,5.3,13,1511,0.874932728,197.6,2.564949357
8.3,8.1,17.1,1411,0.475085258,141.93,2.839078464
6.4,10.2,17.7,644,0.471607248,113.28,2.87356464
5.4,6.6,13.2,2122,0.053173536,71.28,2.58021683
2.2,3.1,16.2,1478,0.759019772,35.64,2.785011242
4.5,4.8,11.8,1600,0.123464456,53.1,2.468099531
28.6,17.5,17.7,644,0.673624854,506.22,2.87356464
22.8,12.5,14.9,1222,0.441185646,339.72,2.701361213
6.5,5.8,16.2,1478,0.382123383,105.3,2.785011242
22.3,13.2,19.6,789,0.936845893,437.08,2.975529566
21.7,12.9,20.5,722,0.437726349,444.85,3.020424886
8.7,8.2,16.6,1467,0.873205663,144.42,2.809402695
16.4,10.6,14.9,1222,0.449314744,244.36,2.701361213
8.3,4.8,14.9,1222,0.528860398,123.67,2.701361213
15.9,8.7,15,1956,0.569965614,238.5,2.708050201
18.3,9.2,15.7,656,0.339438599,287.31,2.753660712
5.3,5.8,12.9,633,0.944399667,68.37,2.557227311
15,10.9,15,1956,0.679400814,225,2.708050201
15.1,8.7,15.4,1033,0.524923832,232.54,2.734367509
9,10,17.2,1778,0.206077075,154.8,2.844909384
19.5,10.6,16.9,1733,0.58331918,329.55,2.827313622
8.3,7.6,14.1,2200,0.096581101,117.03,2.646174797
7.9,8.1,17.1,1411,0.193114169,135.09,2.839078464
21.7,14.1,16.5,589,0.841397479,358.05,2.803360381
18.3,16.7,16.6,1467,0.702180572,303.78,2.809402695
12.4,9,16.9,1733,0.195963603,209.56,2.827313622
5.1,5.4,7.2,1733,0.27804177,36.72,1.974081026
23.3,11.4,15.1,489,0.285066093,351.83,2.714694744
18.2,12.2,15.7,1022,0.069200959,285.74,2.753660712
19.4,14.2,16.7,1067,0.059421657,323.98,2.815408719
21.3,13.9,15.7,656,0.549890731,334.41,2.753660712
4,3.6,14.9,1222,0.532538404,59.6,2.701361213
7.5,10.6,13.2,2122,0.342163016,99,2.58021683
21.2,10,15.1,489,0.20289743,320.12,2.714694744
2.5,2.7,16.2,1478,0.832618271,40.5,2.785011242
26,12.5,15.4,967,0.079732094,400.4,2.734367509
8.6,13.2,16.6,1467,0.944596246,142.76,2.809402695
19.8,15.5,18.1,556,0.133884673,358.38,2.895911938
11,6.4,11.8,1600,0.442930333,129.8,2.468099531
5.3,8.3,15,1956,0.85394456,79.5,2.708050201
7.4,9.4,12.9,633,0.674456941,95.46,2.557227311
8.9,8.4,16.6,1467,0.670966419,147.74,2.809402695
8.6,8.5,15,1956,0.334319299,129,2.708050201
3.8,4.8,11.8,1600,0.503299638,44.84,2.468099531
15.1,10.5,19.6,789,0.185572602,295.96,2.975529566
9.5,7.8,16.7,1067,0.418211523,158.65,2.815408719
5.9,10.3,15,1956,0.768667947,88.5,2.708050201
15.3,13.2,16.9,1733,0.897790685,258.57,2.827313622
5.8,5.6,7.2,1733,0.852103567,41.76,1.974081026
14.2,8.4,12.9,633,0.517058831,183.18,2.557227311
22.8,15.4,15.7,656,0.344570896,357.96,2.753660712
9.4,5.5,12.9,633,0.492857483,121.26,2.557227311
20,14,15.4,1033,0.250553356,308,2.734367509
3.2,5.4,11.8,1600,0.822779913,37.76,2.468099531
5.6,9.4,14.1,2200,0.989668303,78.96,2.646174797
14.6,8.4,16.4,1844,0.890645459,239.44,2.797281335
