d,h,hdo,den,num,dhdo
16.7,13.1,13.4,778,0.2,223.78
7.7,5.9,6.4,911,0.1,49.28
7,3.6,5.4,1133,0.7,37.8
17,16.5,21.5,1667,0.4,365.5
19.3,16.2,21.5,1667,0.5,414.95
17.8,11.3,16.1,1656,0.9,286.58
23.3,19.5,20.3,1011,0.9,472.99
15.9,12.8,15.1,1067,0.2,240.09
16.2,11.7,18.8,1233,0.1,304.56
3,2.7,6.8,767,0.5,20.4
17.4,18.1,16.3,1556,0.3,283.62
14.9,12.6,15.1,1656,0.1,224.99
17.1,13,16.5,1356,0.7,282.15
16.2,10.6,13.2,2122,0.6,213.84
18.8,14.2,18.8,1233,0.9,353.44
11.8,10,15.8,1522,0.2,186.44
25.3,15,17.7,889,0.8,447.81
17,11.3,15.1,1067,0.4,256.7
21.2,16.8,17.7,889,0.8,375.24
16.5,12.3,18.8,1233,0.7,310.2
12.3,7,7.8,989,0.4,95.94
3.5,3,6.1,722,0.7,21.35
18.7,12.6,14.4,1689,0,269.28
5.7,8.7,14,2333,0,79.8
19.4,11.2,16.2,1678,0,314.28
17.5,17,20.3,1011,0.5,355.25
19.7,12.9,18.8,1233,0.3,370.36
8.5,6.5,10.1,1522,0.8,85.85
16.9,11.3,14.4,1689,0.6,243.36
8.5,6,7.1,1044,0.5,60.35
9.4,8,14.8,1967,0.8,139.12
13.1,9.1,14,2333,0.8,183.4
18,12.1,13.2,2122,0.6,237.6
15.1,9.5,14.5,978,0.7,218.95
8,5.9,6.1,722,0.8,48.8
4.9,4.6,7.2,1733,0.1,35.28
12.6,13.5,15.1,1656,0.5,190.26
7.3,5.4,6.9,1356,0.3,50.37
12.3,7.2,10.1,1522,0,124.23
23.1,13.2,19.6,789,0.6,452.76
5.6,4.7,7.2,1733,0.7,40.32
3.3,3.2,7.2,1733,0.4,23.76
4.2,5.3,7.2,1733,0.4,30.24
6.2,5.4,7.2,1733,0.8,44.64
17.5,13,13.4,778,1,234.5
18.8,13.3,13.9,767,0.9,261.32
10.2,5.9,6.1,722,0.5,62.22
16.5,12.6,14.6,789,0.4,240.9
12.7,8.9,21.2,967,0.8,269.24
18.1,13,15.1,1656,1,273.31
12.5,14.3,14.4,1689,0.2,180
12.3,12.7,14.5,978,0.4,178.35
19,12,13.2,2122,0.3,250.8
7.3,4.5,6.9,1356,0.3,50.37
2.7,4.9,7.1,1044,0.1,19.17
2.7,2.8,6,1322,0.8,16.2
9.7,9.9,16.2,1156,0.5,157.14
26,14.1,16.1,689,0.5,418.6
14.3,12.8,13.9,767,0.1,198.77
8.7,5.1,6.4,911,0.6,55.68
14.3,9.1,15.7,422,0.4,224.51
23.2,11.4,20.5,722,0.9,475.6
6.1,4.8,7.2,1733,0.5,43.92
9.9,10.7,14,2333,0.7,138.6
8.6,4.3,5.4,1133,0.6,46.44
14.9,12.3,13.1,811,0.1,195.19
19.5,12.4,14.1,556,0,274.95
11,8.4,14.6,789,0.7,160.6
18.2,13.9,17.7,2278,0.5,322.14
5.4,5.5,9.7,1644,0.3,52.38
23.4,17.8,21.2,967,0.7,496.08
17.8,12.9,16.2,1678,0.9,288.36
9.4,13.2,17.7,2278,0.3,166.38
6.7,10.8,15.8,1522,1,105.86
10.4,13.8,21.5,1667,0.9,223.6
13.8,11.3,16.2,1678,0.9,223.56
16.8,7.6,14,2333,1,235.2
15.1,11.7,14.4,1689,0.8,217.44
14.4,12.3,16.1,1656,0.7,231.84
13.8,13.4,16.1,1656,0.3,222.18
17.8,13.1,15.8,1522,0.3,281.24
20.7,14.6,17.7,2278,0.4,366.39
19.2,16.7,21.5,1667,0.6,412.8
4.2,2.8,6,1322,0.2,25.2
14.5,7.1,7.8,989,0.9,113.1
18.1,12.5,14.8,1967,0.6,267.88
16.7,12,14.4,1689,0.3,240.48
17.8,14.1,16.1,1656,0.9,286.58
13.1,15.2,16.1,1656,0.3,210.91
16,13.3,16.3,1556,0.3,260.8
16.8,10.1,16.2,1156,0.8,272.16
16.1,13.2,17.7,2278,0.5,284.97
16,12.6,14.8,1967,0.2,236.8
19,12.5,13.9,767,0.8,264.1
5.5,4.5,6,1322,0,33
23.3,16.8,20.5,722,0.1,477.65
4.7,3.4,6.9,1356,1,32.43
17.5,14.7,17.7,889,0.9,309.75
11.7,8.8,13.2,2122,0.3,154.44
9.2,5.5,14.5,978,0.8,133.4
17.1,12.1,14.6,789,0.8,249.66
18.6,15.5,20.3,1011,0.8,377.58
19.8,13,17.7,889,1,350.46
18.3,12.6,16.3,1556,0.8,298.29
8.4,5,5.7,533,0.4,47.88
10.4,9.6,17.7,2278,0.5,184.08
17.1,13.8,16.5,1356,0.6,282.15
13.5,11.6,13.2,2122,0.4,178.2
17.8,17.2,20.3,1011,0.8,361.34
30.5,14.5,15.8,1522,0.6,481.9
18.3,13.7,14.4,1689,0.5,263.52
16.8,10.3,14.4,1689,0,241.92
6.4,6.5,10.1,1522,0.7,64.64
10.5,9.1,16.2,1678,1,170.1
5.9,4.5,6,600,0.2,35.4
13.7,12.3,16.6,1656,0.2,227.42
10,6.5,10.1,1522,0.2,101
4.1,6.7,17.2,1778,0.8,70.52
15.7,12.4,15.1,1656,0.7,237.07
10.1,9.6,15.1,1656,1,152.51
14.8,9.1,16.2,1678,1,239.76
25.9,20.1,19.6,789,0.5,507.64
11.4,10.1,15.1,1411,0.5,172.14
16.2,13.7,15.1,1656,0.6,244.62
17.9,13.9,14.4,1689,0.9,257.76
8.4,6.2,6.8,767,0.2,57.12
5.7,6.4,14.1,2200,0.7,80.37
11,6.4,14,2333,0.7,154
19,7.4,13.4,778,0.8,254.6
23.7,13.4,16.2,1678,0.5,383.94
14.2,7.1,10.1,1522,0.6,143.42
8.4,5.2,6,1322,0.4,50.4
9.6,6.5,7.1,1044,0.4,68.16
4.3,4.1,7.2,1733,0.2,30.96
4.2,5.3,9.7,1644,0.7,40.74
19.3,14.8,16.6,1467,0.8,320.38
15.8,7.1,16.2,1678,0.1,255.96
19.8,15.7,18.8,1233,0.3,372.24
12.7,7.5,14,2333,0,177.8
22.3,15.8,17.7,889,0.3,394.71
10.5,16.9,21.5,1667,0,225.75
9.2,7.4,10.1,1522,0.9,92.92
