d,h,hdo,den,,,,,
4.8,5.1,7.2,1733,,,,,
4.8,4.7,6,600,,,,,
4.8,4.5,6,600,,,,,
4.8,4.5,6,600,,,,,
4.8,4.4,5.4,1133,,,,,
4.8,4.4,10.1,1522,,,,,
4.8,4.4,21.5,1667,,,,,
4.8,4.3,13.2,2122,,,,,
4.8,4.2,7.2,1733,,,,,
4.8,4.2,10.1,1522,,,,,
4.8,4.1,6.9,1356,,,,,
4.8,4,7.8,989,,,,,
4.8,3.9,17.2,1778,,,,,
4.8,3.6,6.1,722,,,,,
4.8,3.6,17.2,1778,,,,,
4.8,3.5,6.4,911,,,,,
4.8,3.5,5.4,1133,,,,,
4.8,3.4,13.9,767,,,,,
4.8,3.2,7.2,1733,,,,,
4.8,3,9.7,1644,,,,,
4.9,7.8,13.2,2122,,,,,
4.9,7.1,10.1,1522,,,,,
4.9,6.2,6.4,911,,,,,
4.9,4.7,14,2333,,,,,
4.9,4.7,7.1,1044,,,,,
4.9,4.6,7.2,1733,,,,,
4.9,4.6,7.2,1733,,,,,
4.9,4.3,6.9,1356,,,,,
4.9,4.3,16.5,1356,,,,,
4.9,4.1,6.9,1356,,,,,
4.9,3.8,6.9,1356,,,,,
4.9,3.8,5.4,1133,,,,,
4.9,3.6,5.4,1133,,,,,
4.9,3.3,5.4,1133,,,,,
4.9,3.2,7.8,989,,,,,
5,12.1,16.1,1656,,,,,
5,7.1,7.1,1044,,,,,
5,6.1,18.8,1233,,,,,
5,5.8,7.2,1733,,,,,
5,5.6,18.8,1233,,,,,
5,5.2,15.1,1656,,,,,
5,4.9,7.2,1733,,,,,
5,4.8,6,1322,,,,,
5,4.8,6.4,911,,,,,
5,4.8,14.6,789,,,,,
5,4.7,16.2,1678,,,,,
5,4.6,6,1322,,,,,
5,4.5,15.7,1022,,,,,
5,4.5,18.8,1233,,,,,
5,4.4,6,600,,,,,
5,4.4,5.4,1133,,,,,
5,4.2,6.8,767,,,,,
5,4,5.4,1133,,,,,
5,4,5.4,1133,,,,,
5,3.9,6,1322,,,,,
5,3.9,5.4,1133,,,,,
5,3.8,6,600,,,,,
5,3.6,5.4,1133,,,,,
5,3.4,6,1322,,,,,
5,3.4,5.4,1133,,,,,
5,3.4,5.4,1133,,,,,
5,3.1,5.7,533,,,,,
5,3,6.8,767,,,,,
5,2.5,6.1,722,,,,,
