"CW","CLR","SD","D","PLOT"
2.055,0.61,1611.111111,3.7,17
2.095,0.81,1611.111111,4.6,17
2.013,0.81,1611.111111,4.1,17
2.476,0.84,1611.111111,5.3,17
2.019,0.84,1611.111111,2.5,17
1.5835,0.76,1611.111111,4.3,17
2.4125,0.75,1611.111111,4,17
1.592,0.84,1611.111111,4.6,17
1.9995,0.8,1611.111111,3.5,17
2.292,0.85,1611.111111,6.5,17
1.4975,0.65,1611.111111,5.2,17
2.0235,0.63,1611.111111,3.8,17
1.72,0.79,1611.111111,4.4,17
1.796,0.74,1611.111111,2.9,17
0.8305,0.82,1611.111111,4,17
1.543,0.62,1611.111111,6.2,17
2.091,0.7,1611.111111,4.9,17
1.423,0.85,1611.111111,3,17
1.6435,0.72,1611.111111,3.8,17
1.778,0.9,1611.111111,3.5,17
5.4065,0.9,1611.111111,28,17
1.986,0.67,1611.111111,4.7,17
2.445,0.87,1611.111111,3.9,17
2.41,0.93,1611.111111,4.6,17
2.2845,0.73,1611.111111,5.9,17
2.237,0.81,1611.111111,3.9,17
1.8035,0.8,1611.111111,3.1,17
1.983,0.83,1611.111111,3.2,17
2.359,0.84,1611.111111,4,17
1.6885,0.67,1611.111111,3.8,17
1.889,0.8,1611.111111,4.9,17
2.8985,0.9,1611.111111,8.8,17
2.6125,0.77,1611.111111,2.7,17
1.9835,0.73,1611.111111,6.2,17
2.2085,0.76,1611.111111,5.4,17
2.8585,0.72,1611.111111,5.2,17
2.1495,0.86,1611.111111,6.8,17
1.9375,0.88,1611.111111,5.3,17
2.065,0.83,1611.111111,3.4,17
2.178,0.76,1611.111111,3.6,17
2.962,0.8,1611.111111,2.8,17
1.8325,0.71,1611.111111,3,17
1.8455,0.75,1611.111111,3.1,17
2.8565,0.67,1611.111111,3.2,17
2.414,0.73,1611.111111,3.9,17
2.339,0.78,1611.111111,4.4,17
2.2318,0.67,1611.111111,4.2,17
1.8465,0.68,1611.111111,3,17
2.654,0.48,1611.111111,3.2,17
2.158,0.72,1611.111111,4,17
1.6965,0.48,1611.111111,4.8,17
1.8965,0.57,1611.111111,3.1,17
1.842,0.6,1611.111111,3,17
2.5355,0.67,1611.111111,4.7,17
2.9505,0.78,1611.111111,5.6,17
2.6465,0.69,1611.111111,6.4,17
1.6815,0.63,1611.111111,6.5,17
1.944,0.46,1611.111111,4.5,17
2.1115,0.39,1611.111111,3.5,17
1.373,0.6,1611.111111,3.7,17
1.457,0.87,1611.111111,3,17
3.3945,0.76,1611.111111,11,17
2.487,0.71,1611.111111,6.8,17
2.172,0.66,1611.111111,4.1,17
2.0145,0.8,1611.111111,4.2,17
1.823,0.47,1611.111111,6.7,17
1.6535,0.45,1611.111111,5.8,17
1.9625,0.34,1611.111111,4.2,17
1.8005,0.39,1611.111111,4.8,17
2.369,0.55,1611.111111,6.2,17
3.0615,0.52,1611.111111,7.2,17
1.8345,0.85,1611.111111,3.2,17
2.372,0.74,1611.111111,3.4,17
4.7955,0.86,1611.111111,12.5,17
4.023,0.87,1611.111111,12.9,17
2.2565,0.75,1611.111111,5.3,17
2.6975,0.76,1611.111111,6.9,17
2.2665,0.85,1611.111111,6.4,17
2.7385,0.79,1611.111111,4.8,17
2.819,0.67,1611.111111,5.8,17
2.3865,0.77,1611.111111,3.6,17
2.702,0.64,1611.111111,5.2,17
2.6185,0.83,1611.111111,3.3,17
2.821,0.82,1611.111111,5.2,17
3.6075,0.85,1611.111111,9.6,17
2.4065,0.74,1611.111111,6.2,17
2.039,0.7,1611.111111,4.2,17
2.096,0.66,1611.111111,3.6,17
2.158,0.65,1611.111111,4.7,17
3.4115,0.63,1611.111111,5.5,17
2.94,0.86,1611.111111,6.4,17
1.8085,0.69,1611.111111,4.3,17
2.781,0.7,1611.111111,5.2,17
2.39,0.9,1611.111111,5,17
2.3675,0.75,1611.111111,7.4,17
2.256,0.84,1611.111111,6.4,17
2.318,0.69,1611.111111,4.7,17
2.228,0.75,1611.111111,4.7,17
2.7805,0.72,1611.111111,8.4,17
5.263,0.82,1611.111111,20.4,17
5.12,0.65,1611.111111,10.2,17
2.218,0.73,1955.555556,10.7,21
