"CW","D","SD","CLR","plot"
3.51,27,1955,0.76,"21"
1.61,4.2,1955,0.49,"21"
1.845,15.4,1955,0.81,"21"
3.2,22,1955,0.76,"21"
2.485,5.9,1955,0.3,"21"
3.655,8.5,1955,0.28,"21"
1.76,3.6,1955,0.65,"21"
1.765,5.6,1955,0.28,"21"
2.2,4,1955,0.73,"21"
2.595,3,1955,0.57,"21"
1.96,18.4,1955,0.61,"21"
2.74,3,1955,0.11,"21"
2.41,2.8,1955,0.11,"21"
2.825,7.3,1955,0.64,"21"
1.87,4.2,1955,0.72,"21"
2.005,2.9,1955,0.1,"21"
1.51,7,1955,0.38,"21"
1.66,2.2,1955,0.88,"21"
1.92,3,1955,0.15,"21"
1.885,3.5,1955,0.69,"21"
3.055,8.9,1955,0.64,"21"
2.47,6.5,1955,0.65,"21"
2.09,4.5,1955,0.32,"21"
2.13,4.7,1955,0.38,"21"
1.36,2.2,1955,0.54,"21"
3.28,7.4,1955,0.64,"21"
2.9,13,1955,0.78,"21"
3.915,12.9,1955,0.72,"21"
1.76,9.5,1955,0.47,"21"
3.585,20.2,1955,0.83,"21"
3.08,5.5,1955,0.52,"21"
3.815,19.7,1477,0.8,"22"
5.56,26.8,1477,0.73,"22"
1.96,2.6,1477,0.78,"22"
1.81,2.3,1477,0.76,"22"
1.755,3.4,1477,0.7,"22"
1.435,3.5,1477,0.72,"22"
1.47,2.9,1477,0.86,"22"
1.485,2.7,1477,0.63,"22"
2.085,4.8,1477,0.63,"22"
6.635,30.4,1477,0.86,"22"
5.85,28.8,1477,0.82,"22"
2.29,4.1,1477,0.83,"22"
1.53,5.7,1477,0.49,"22"
1.68,2.2,1477,0.81,"22"
1.77,2.4,1477,0.86,"22"
2.645,4.1,1477,0.86,"22"
2.87,8.4,1477,0.81,"22"
1.95,4.1,1477,0.39,"22"
2.57,6.4,1477,0.71,"22"
1.55,3.8,1477,0.62,"22"
1.355,2.2,1477,0.52,"22"
1.765,3.7,1477,0.58,"22"
1.335,4.4,1477,0.48,"22"
1.535,3.2,1477,0.6,"22"
2.49,2,1477,0.88,"22"
2.135,6.3,1477,0.57,"22"
2.805,3.5,1477,0.66,"22"
2.585,4.6,1477,0.74,"22"
2.33,3.1,1477,0.63,"22"
2.585,3.9,1477,0.76,"22"
2.22,3.1,1477,0.5,"22"
2.545,4.9,1477,0.6,"22"
2.74,3.6,1477,0.58,"22"
1.785,2.3,1477,0.83,"22"
2.095,4,1477,0.73,"22"
1.905,2.2,1477,0.71,"22"
2.1,4.1,1477,0.82,"22"
2.785,3.2,1477,0.71,"22"
2.62,4,1477,0.72,"22"
2.69,3.6,1477,0.67,"22"
2.64,2.7,1477,0.83,"22"
3.58,6,1477,0.76,"22"
1.93,2.2,1477,0.32,"22"
1.565,2.5,1477,0.52,"22"
1.53,2.2,1477,0.5,"22"
1.9,3.3,1477,0.85,"22"
1.865,3,1477,0.8,"22"
3.625,8.9,1477,0.83,"22"
2.09,6.8,1477,0.81,"22"
3.125,5.4,1477,0.8,"22"
3.125,7.5,1477,0.8,"22"
3.125,5.9,1477,0.81,"22"
1.865,7,1477,0.66,"22"
1.555,4.5,1477,0.67,"22"
5.095,26.5,1477,0.65,"22"
5.165,27.4,1477,0.71,"22"
2.14,5.9,1477,0.73,"22"
3.045,6.1,1477,0.78,"22"
2.65,3.2,1477,0.55,"22"
2.09,2.5,1477,0.47,"22"
1.9,3.8,1477,0.69,"22"
2.195,3.5,1477,0.63,"22"
1.835,5.5,1477,0.44,"22"
1.925,4,1477,0.26,"22"
2.225,5.7,1477,0.7,"22"
2.22,3.5,1477,0.24,"22"
1.615,3.1,1477,0.29,"22"
2.92,5.3,1477,0.72,"22"
2.66,3.5,1477,0.28,"22"
2.385,8,1477,0.69,"22"
2.645,10.2,1477,0.73,"22"
2.865,4.5,1477,0.2,"22"
2.38,7.8,1477,0.3,"22"
6.835,19.2,1477,0.65,"22"
4.995,28.2,1477,0.66,"22"
3.77,9.8,1477,0.85,"22"
5.565,22.2,1477,0.72,"22"
5.975,22.3,1477,0.72,"22"
1.33,3.4,1477,0.16,"22"
6.46,23.4,1477,0.76,"22"
6.545,31.4,1477,0.82,"22"
5.41,27.1,1477,0.75,"22"
1.35,2.8,1477,0.26,"22"
2.11,5.5,1477,0.46,"22"
1.835,6.5,1477,0.42,"22"
2.225,5.5,1477,0.75,"22"
2.985,6.5,1477,0.64,"22"
2.86,9.2,1477,0.55,"22"
2.32,7.3,1477,0.64,"22"
1.675,3.7,1477,0.42,"22"
4.445,27.7,1477,0.83,"22"
4.755,29.2,1477,0.67,"22"
3.705,11.5,1477,0.73,"22"
3.305,6.9,1477,0.41,"22"
