agb,plot1,plot2,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101
68.81957551,1,1,0.222318,0.777682,0.120118,0.127538,0.06791,0.1,0.1,0.11,0.12,0.12,0.13,0.15,0.17,0.2,0.25,0.28,0.32,0.45,0.6,1.11,0.33,0.411341,0.822042,0.16,19.663067,0.06,2.19,0.1,0.241931,0.17,0.1,0.11,0.12,0.15,0.17,0.19,0.23,0.28,0.35,0.44,0.5,0.58,0.86,1.195,1.715,3.39862,0.313182,0.198878,0.039552,0.784305,0.143193,0.041219,0.014299,0.007653,0.003961,0.002954,0.001276,0.000806,0.000269,2348.702254,0.095857,30609,36547,38248,39823,40356,40759,41353,41833,42361,42941,43271,43593,44392,44974,46199,27.187255,1517,49295,41052.89856,41703,16,-3.885021,15485917.77,3935.215086,22687,35491,37690,39524,40071,40542,41198,41703,42217,42817,43145,43486,44293,44903,46147,2915
220.3415961,2,2,0.554719,0.445281,0.386502,0.479911,0.155851,0.1,0.11,0.13,0.17,0.19,0.21,0.27,0.35,0.46,0.6,0.71,0.97,1.71,2.1,2.59,1.47,1.119863,1.029102,0.52,4.76396,0.19,3.42,0.1,0.617425,0.35,0.12,0.18,0.25,0.41,0.49,0.58,0.82,1.3,1.58,1.83,1.96,2.08,2.365,2.565,2.935,1.64212,0.885968,0.635394,0.403725,0.581789,0.183894,0.047691,0.042524,0.051587,0.042497,0.030514,0.014716,0.004085,0.000703,6381.210904,0.229984,15349,26064,31300,36805,38427,39516,40996,41815,42421,42967,43263,43593,44340,44904,46243,6.271763,2476,48705,37612.23559,41255,89,-1.886577,74826006.45,8650.202683,6404,17611,25064,32836,35271,37417,39859,41255,42039,42697,43006,43355,44174,44772,46057,4836
222.9558937,2,2,0.561125,0.438875,0.393425,0.54438,0.140138,0.1,0.11,0.13,0.16,0.19,0.21,0.27,0.33,0.42,0.6,0.77,1,1.88,2.38,3.1,1.76,1.271494,1.121002,0.58,5.667701,0.18,4.05,0.1,0.653545,0.33,0.12,0.18,0.26,0.41,0.51,0.65,0.99,1.44,1.82,2.12,2.27,2.44,2.84,3.12,3.6,1.841536,0.981764,0.732625,0.53674,0.649711,0.126664,0.059998,0.041048,0.044543,0.034675,0.023994,0.013412,0.004553,0.001378,6431.024431,0.232406,15261,26274,31578,37095,38582,39571,40891,42098,42898,43438,43668,43880,44431,44939,45904,6.320214,2689,47974,37765.00561,41198,36,-1.90603,77032633.76,8776.823671,6174,17287,24952,33140,35733,37565,39844,41198,42436,43182,43469,43732,44292,44803,45808,5086
350.2807569,3,3,0.636519,0.363481,0.48347,0.601047,0.210845,0.11,0.12,0.15,0.22,0.27,0.32,0.45,0.64,0.85,1.19,1.37,1.56,1.96,2.25,2.92,1.17,1.339134,0.825923,1.1,3.190325,0.44,3.77,0.1,0.873803,0.64,0.14,0.27,0.42,0.71,0.83,0.99,1.26,1.49,1.7,1.9,2,2.12,2.45,2.8,3.3,0.981506,1.133302,0.721693,0.520841,0.408654,0.187724,0.108131,0.098174,0.09254,0.060948,0.024861,0.011721,0.005699,0.001527,7748.568398,0.287395,12263,21948,27162,32156,33828,35290,37628,39427,40980,42232,42783,43277,44026,44415,45097,4.091777,5359,49463,34377.92067,37498,7,-1.287001,97615068.99,9880.033856,3861,12554,19384,27410,29867,31799,34930,37498,39512,41277,42044,42728,43813,44289,44999,8955
65.84278233,1,1,0.214235,0.785765,0.115178,0.483394,0.151014,0.1,0.1,0.11,0.12,0.12,0.13,0.15,0.18,0.24,0.49,0.94,1.15,1.47,1.69,2.06,0.86,0.955518,1.120168,0.82,3.245803,0.07,2.82,0.1,0.510758,0.18,0.1,0.12,0.15,0.33,0.73,0.94,1.14,1.28,1.4,1.52,1.59,1.67,1.86,2.04,2.345,1.268696,0.76695,0.572135,0.327338,0.677712,0.036306,0.030903,0.067065,0.083345,0.063463,0.028382,0.010157,0.001801,0.000792,6062.30859,0.232945,14593,26151,31148,35145,36337,37293,38753,39821,40938,42067,42439,42782,43572,44201,45319,6.566747,3476,48856,36347.40607,39022,103,-1.896685,71689081.82,8466.940523,5463,16302,24999,32285,34141,35578,37633,39023,40130,41540,42084,42507,43363,44032,45210,6102
3.697095507,1,1,0.177331,0.822669,0.093252,0.049735,0.034581,0.1,0.1,0.1,0.11,0.11,0.11,0.12,0.12,0.13,0.14,0.15,0.16,0.2,0.26,0.84,0.09,0.273171,0.761103,0.04,64.936199,0.02,1.58,0.1,0.151179,0.12,0.1,0.1,0.1,0.11,0.11,0.12,0.13,0.14,0.16,0.18,0.2,0.23,0.385,1.02,1.395,7.172079,0.189986,0.115063,0.013239,0.942134,0.041046,0.003839,0.001554,0.001188,0.0032,0.003017,0.001645,0.001737,0.000548,1714.152476,0.081449,33050,35330,36100,36922,37217,37463,37917,38344,38785,39310,39601,39931,40886,41856,43722,49.449839,1186,45796,38113.00448,38245,1500,-5.148,9636384.124,3104.252587,27847,35060,35956,36803,37109,37368,37819,38245,38695,39208,39478,39812,40753,41685,43534,2384
0.705756273,1,1,0.224342,0.775658,0.121363,0.037075,0.03284,0.1,0.1,0.1,0.1,0.11,0.11,0.11,0.12,0.13,0.14,0.14,0.15,0.19,0.24,0.42,0.06,0.202365,0.543566,0.03,78.274376,0.02,1.31,0.1,0.139736,0.12,0.1,0.1,0.1,0.11,0.11,0.11,0.12,0.13,0.14,0.16,0.17,0.19,0.29,0.42,1.06,7.166427,0.159045,0.075956,0.005769,0.939848,0.041848,0.010547,0.002586,0.001565,0.000749,0.000749,0.000953,0.000476,0.000612,1298.183013,0.058065,33573,35005,35617,36351,36616,36852,37286,37665,38013,38393,38591,38812,39397,39912,41183,75.902743,993,43935,37426.31417,37607,2057,-5.969228,4722610.292,2173.156757,33109,34875,35535,36277,36545,36777,37219,37607,37948,38336,38541,38764,39346,39847,41119,1975
59.70612511,1,1,0.216313,0.783687,0.116443,0.081106,0.111082,0.1,0.1,0.11,0.12,0.12,0.13,0.15,0.17,0.19,0.23,0.25,0.27,0.35,0.42,0.59,0.18,0.262315,0.535094,0.13,7.783522,0.05,1.03,0.1,0.203307,0.17,0.1,0.11,0.12,0.14,0.15,0.16,0.19,0.22,0.26,0.31,0.33,0.36,0.46,0.54,0.74,1.885895,0.230583,0.108788,0.011835,0.60793,0.212693,0.102148,0.045292,0.018929,0.007847,0.003235,0.00117,0.000482,0.000206,1879.060233,0.062104,35545,37386,38389,39458,39867,40238,40977,41646,42197,42677,42927,43205,43991,44651,45651,29.982195,1522,48304,41172.91781,41504,4949,-2.726459,6538186.733,2556.987824,35161,37180,38210,39302,39717,40095,40816,41505,42085,42592,42839,43119,43907,44563,45577,3060
139.9755531,1,1,0.28257,0.71743,0.158643,0.328163,0.146083,0.1,0.11,0.11,0.13,0.13,0.14,0.17,0.2,0.25,0.37,0.48,0.71,1.12,1.37,1.78,0.98,0.748809,1.043086,0.35,4.885136,0.08,2.21,0.1,0.408236,0.2,0.1,0.12,0.15,0.23,0.29,0.37,0.63,0.89,1.05,1.2,1.27,1.36,1.62,1.76,2,1.680629,0.589901,0.425825,0.181327,0.660816,0.101865,0.04038,0.049261,0.055634,0.041791,0.023977,0.016769,0.007261,0.002194,4015.254163,0.162283,21236,32356,35895,38527,39382,39941,40781,41530,42272,42908,43201,43483,44175,44806,45884,13.666572,2055,47851,39445.56919,41185,40,-2.949624,40976989.25,6401.327148,9663,26969,33413,37500,38524,39375,40378,41185,41976,42710,43035,43337,44072,44688,45825,3819
122.4281747,1,1,0.254992,0.745008,0.140623,0.327567,0.117547,0.1,0.1,0.11,0.12,0.12,0.13,0.14,0.16,0.19,0.24,0.29,0.5,1.17,1.39,1.74,1.13,0.746285,1.183751,0.17,5.189621,0.05,2.39,0.1,0.369183,0.16,0.1,0.11,0.13,0.18,0.22,0.28,0.78,1.02,1.16,1.29,1.35,1.42,1.59,1.75,2.09,1.842682,0.572087,0.437021,0.190987,0.765512,0.037841,0.020515,0.038029,0.056793,0.044721,0.024081,0.008944,0.002627,0.000938,5157.820243,0.191867,18168,30292,34389,38463,39537,40411,41516,42413,43249,43954,44234,44469,44951,45392,46292,9.195678,2484,48356,39355.77296,41903,402,-2.372014,57018696.42,7551.072535,8272,22454,30608,36233,38033,39222,40846,41904,42835,43702,44042,44331,44875,45299,46216,4697
