d,h,hdo,den,dhdo,num
11.3,12.7,16.2,1678,183.06,
21.5,13.7,19.6,789,421.4,
17.1,12.8,16.2,1678,277.02,
3,2.7,4.9,689,14.7,
2.9,3,6.4,911,18.56,
21.9,19.5,21.2,967,464.28,
6.1,5.8,6.9,1356,42.09,
22.3,13,14.8,1967,330.04,
16,15.8,22.4,867,358.4,
12.8,11.3,16.2,1678,207.36,
9.5,6.3,14,2333,133,
19,13,16.5,1356,313.5,
18.2,12.9,13.4,778,243.88,
6.2,4.6,7.1,1044,44.02,
14.1,11.1,14.8,1967,208.68,
18.1,7.5,17.7,2278,320.37,
13,14.6,17.7,2278,230.1,
3.5,4.7,6.9,1356,24.15,
3.8,3.7,6,1322,22.8,
21.5,17,21.2,967,455.8,
10.2,8.9,10.4,500,106.08,
14.9,11.5,13.1,811,195.19,
4.1,2.5,7.2,1733,29.52,
15.5,15.4,17.7,2278,274.35,
13.8,10.9,14.4,1689,198.72,
19.8,10.5,16.1,689,318.78,
4.3,4.2,9.7,1644,41.71,
3.8,3,7.1,1044,26.98,
17.9,10.8,15.1,1067,270.29,
19.1,13.3,16.6,1467,317.06,
19,12.3,16.2,1156,307.8,
13.1,14.8,21.5,1667,281.65,
8.3,5,6.9,1356,57.27,
8.9,6.4,7.2,1733,64.08,
11.1,11.9,13.2,2122,146.52,
10.5,5.5,6.4,911,67.2,
9.8,9.5,14,2333,137.2,
11.5,11.7,14.5,978,166.75,
24.5,18.7,20.3,1011,497.35,
12.8,13.8,15.8,1522,202.24,
15.1,10.5,19.6,789,295.96,
10.5,6.3,7.1,1044,74.55,
22.5,15.7,15.8,1522,355.5,
18.7,14.7,17.7,2278,330.99,
24.6,16.6,17.3,1122,425.58,
7.3,3.9,6,600,43.8,
20.7,14.7,16.3,1556,337.41,
13.1,7.8,15.1,1067,197.81,
17,14.3,16.6,1467,282.2,
31,15.1,17.7,889,548.7,
26.5,13.9,17.7,889,469.05,
14.2,11.5,13.2,2122,187.44,
7.6,6.1,10.1,1522,76.76,
16.6,14,17.7,2278,293.82,
3.7,4,7.2,1733,26.64,
21.4,13.8,19.6,789,419.44,
7.8,5.2,6.9,1356,53.82,
8.7,6.7,15.1,1411,131.37,
10.4,9.9,14.8,1967,153.92,
10.7,6.2,6.9,1356,73.83,
9.2,3.3,13.4,778,123.28,
21,16.6,21.5,1667,451.5,
4.9,3.2,7.8,989,38.22,
17.5,11.9,14.5,978,253.75,
18.8,12.6,15.1,1411,283.88,
15.3,10.2,16.2,1156,247.86,
7.7,5.3,6.4,911,49.28,
8.4,4.9,6.8,767,57.12,
20.5,12.6,14.5,978,297.25,
7.6,5.6,6.4,911,48.64,
21.2,15.3,17.3,1122,366.76,
13.5,12.6,13.4,778,180.9,
18.4,12.5,14.8,1022,272.32,
25.4,16.7,18.8,1233,477.52,
8.6,6.3,7.1,1044,61.06,
24.4,10.8,19.6,789,478.24,
13.7,11,16.1,1656,220.57,
16.7,13.6,14.4,1689,240.48,
5,3,6.8,767,34,
17.1,14,15.7,1022,268.47,
17.3,16.2,20.3,1011,351.19,
18,12.7,15.1,1067,271.8,
12.7,5.7,20.5,722,260.35,
17.4,10.6,14,2333,243.6,
9.5,6.7,10.4,500,98.8,
10.1,10.5,17.7,2278,178.77,
10.8,7.5,6.8,767,73.44,
8,4.7,5.7,533,45.6,
15.1,10.9,16.2,1156,244.62,
14.4,9.6,14.4,1689,207.36,
8.4,5.1,6.9,1356,57.96,
23.5,17.4,21.2,967,498.2,
12.7,10.3,19.6,789,248.92,
15.2,12.9,14.8,1967,224.96,
12.9,11.9,14.8,1967,190.92,
5,3.9,6,1322,30,
10.5,6.1,6.4,911,67.2,
8.6,6.5,14.5,978,124.7,
16,13.6,15.1,1656,241.6,
15.1,11.3,13.2,2122,199.32,
17.1,12.8,14.8,1967,253.08,
13.8,8.8,15.8,1522,218.04,
18.4,10.2,14.4,1689,264.96,
19.8,14.3,17.3,1122,342.54,
15.6,10.2,16.2,1678,252.72,
3.1,2.9,7.2,1733,22.32,
9.5,6.2,7.2,1733,68.4,
8.4,4.4,6.9,1356,57.96,
24.9,13.8,16.5,1356,410.85,
20.3,19.6,21.2,967,430.36,
9.1,4.8,13.1,811,119.21,
27.7,17.6,17.7,889,490.29,
16.8,15.8,16.6,1656,278.88,
10,8.8,13.2,2122,132,
21.7,14.7,18.8,1233,407.96,
19,13.7,17.3,1122,328.7,
18.9,13.2,16.2,1156,306.18,
8.1,9.5,16.3,1556,132.03,
13.8,11.5,14.8,1967,204.24,
14.6,9.4,14.1,556,205.86,
3.5,2.5,7.8,989,27.3,
15.6,9.4,13.9,767,216.84,
2.8,2.5,6,1322,16.8,
3.9,3.7,5.7,533,22.23,
17.8,13.7,15.1,1067,268.78,
7.9,7.5,15.1,1656,119.29,
19.8,15.6,16.2,1678,320.76,
18.5,11.3,13.2,2122,244.2,
14.8,11,15.1,1411,223.48,
8.2,7.1,15.1,1411,123.82,
6.8,3,5.4,1133,36.72,
16.4,11.8,14.1,556,231.24,
25,13.9,13.9,767,347.5,
7.2,5.9,6.9,1356,49.68,
20.6,18.9,21.2,967,436.72,
7.5,8.4,13.2,2122,99,
3.6,3.9,4.9,689,17.64,
21.4,15.3,17.3,1122,370.22,
12.2,8.4,14,2333,170.8,
